Burlington International Airport,Hinesburg Road at Williston Road,Kennedy Drive at Manor Woods,UVM Medical Center,Waterfront,Downtown Transit Center
6:36 AM,6:39 AM,6:41 AM,6:50 AM,7:05 AM, 7:10 am
7:21 AM,7:24 AM,7:26 AM,7:35 AM,7:50 AM, 7:55 am
8:06 AM,8:09 AM,8:11 AM,8:20 AM,8:35 AM, 8:40 am
8:51 AM,8:54 AM,8:56 AM,9:05 AM,9:20 AM, 9:25 am
9:36 AM,9:39 AM,9:41 AM,9:50 AM,10:05 am*, 10:10 am
10:21 AM,10:24 AM,10:26 AM,10:35 AM,10:50 AM, 10:55 am
11:06 AM,11:09 AM,11:11 AM,11:20 AM,11:35 AM, 11:40 am
11:51 AM,11:54 AM,11:56 AM,12:05 PM,12:20 PM, 12:25 pm
12:36 PM,12:39 PM,12:41 PM,12:50 PM,1:05 PM, 1:10 pm
1:21 PM,1:24 PM,1:26 PM,1:35 PM,1:50 PM, 1:55 pm
2:06 PM,2:09 PM,2:11 PM,2:20 PM,2:35 PM, 2:40 pm
2:55 PM,2:59 PM,2:56 PM,3:13 PM,3:28 PM, 3:33 pm
3:38 PM,3:42 PM,3:41 PM,3:56 PM,4:11 PM, 4:16 pm
4:23 PM,4:27 PM,4:26 PM,4:41 PM,4:56 PM, 5:01 pm
5:10 PM,5:13 PM,5:11 PM,5:26 PM,5:41 PM, 5:46 pm
5:51 PM,5:54 PM,5:56 PM,6:05 PM,6:20 PM, 6:25 pm
6:36 PM,6:39 PM,6:41 PM,6:50 PM,7:05 PM, 7:10pm
7:20 PM,7:23 PM,7:25 PM,7:34 PM,7:49 PM, 7:54 pm
8:05 PM,8:08 PM,8:10 PM,8:19 PM,8:34 PM, 8:39 pm
8:35 PM,8:38 PM,8:40 PM,8:49 PM,9:04 PM, 9:09 pm
9:50 PM,9:53 PM,9:55 PM,10:04 PM,10:19 pm*, 10:24 pm
11:05 PM,11:08 PM,11:10 PM,11:19 PM,11:34 PM, 11:39 pm
