"Downtown Transit Center-A, C, E, G, I",Waterfront,UVM Medical Center,Kennedy Drive,Country Park,Burlington International Airport,,,at Timber Lane,,
 6:00 am,6:05 AM,6:17 AM,6:27 AM,—,6:32 AM
 6:45 am,6:50 AM,7:02 AM,7:12 AM,—,7:17 AM
 7:30 am,7:35 AM,7:47 AM,7:57 AM,—,8:02 AM
 8:15 am,8:20 AM,8:32 AM,8:42 AM,8:44 AM,8:47 AM
 9:00 am,9:05 AM,9:17 AM,9:27 AM,—,9:32 AM
 9:45 am,9:50 am*,10:02 AM,10:12 AM,—,10:17 AM
 10:30 am,10:35 AM,10:47 AM,10:57 AM,—,11:02 AM
 11:15 am,11:20 AM,11:32 AM,11:42 AM,11:44 AM,11:47 AM
 12:00 pm,12:05 PM,12:17 PM,12:27 PM,—,12:32 PM
 12:45 pm,12:50 PM,1:02 PM,1:12 PM,—,1:17 PM
 1:30 pm,1:35 PM,1:47 PM,1:57 PM,—,2:02 PM
 2:15 pm,2:20 PM,2:32 PM,2:42 PM,2:44 PM,2:47 PM
 3:00 pm,3:05 PM,3:17 PM,3:27 PM,—,3:32 PM
 3:45 pm,3:50 PM,4:02 PM,4:12 PM,—,4:17 PM
 4:30 pm,4:35 PM,4:47 PM,4:57 PM,4:59 PM,5:02 PM
 5:15 pm,5:20 PM,5:32 PM,5:42 PM,—,5:47 PM
 6:00 pm,6:05 PM,6:17 PM,6:27 PM,6:29 PM,6:32 PM
 6:45 pm,6:50 PM,7:02 PM,7:12 PM,—,7:17 PM
 7:30 pm,7:35 PM,7:47 PM,7:57 PM,—,8:02 PM
 8:00 pm,8:05 PM,8:17 PM,8:27 PM,—,8:32 PM
 9:15 pm,9:20 PM,9:32 PM,9:42 PM,—,9:47 PM
 10:30 pm,10:35 pm*,10:37 PM,10:57 PM,—,11:02 PM
