"Downtown Transit Center – B, D, F, H, J",North Street at N Union Street,Fern Hill,McAuley Square,UVM Waterman Building,Maple Street at S Willard Street,Battery Street at College Street,Downtown Transit Center
8:30 AM,8:34 AM,8:39 AM,—,8:42 AM,8:46 AM,8:50 AM,8:53 AM
9:30 AM,9:34 AM,—,9:39 AM,9:42 AM,9:46 AM,9:50 AM,9:53 AM
10:30 AM,10:34 AM,10:39 AM,—,10:42 AM,10:46 AM,10:50 AM,10:53 AM
11:30 AM,11:34 AM,—,11:39 AM,11:42 AM,11:46 AM,11:50 AM,11:53 AM
12:30 PM,12:34 PM,12:39 PM,—,12:42 PM,12:46 PM,12:50 PM,12:53 PM
1:30 PM,1:34 PM,—,1:39 PM,1:42 PM,1:46 PM,1:50 PM,1:53 PM
2:30 PM,2:34 PM,2:39 PM,—,2:42 PM,2:46 PM,2:50 PM,2:53 PM
3:30 PM,3:34 PM,—,3:39 PM,3:42 PM,3:46 PM,3:50 PM,3:53 PM
4:30 PM,4:34 PM,4:39 PM,—,4:42 PM,4:46 PM,4:50 PM,4:53 PM
5:30 PM,5:34 PM,—,5:39 PM,5:42 PM,5:46 PM,5:50 PM,5:53 PM
6:30 PM,6:34 PM,6:39 PM,—,6:42 PM,6:46 PM,6:50 PM,6:53 PM
